,anakjakartaasikasik,anak jakarta asyik asyik baru
417,bs,bisa
418,bsa,bisa
419,bsk,besok
420,bsok,besok
421,bsoq,besok
422,bsr,besar
423,bte,bosan
424,btg,batang
425,bth,butuh
426,btl,betul
427,btul,betul
428,btull,betul
429,buad,buat
430,buatapa,buat apa
431,buatin,buatkan
432,bubarin,bubarkan
433,bukabukaan,buka bukaan
434,bukane,bukannya
435,bukn,bukan
436,buktiin,buktikan
437,buktikan,buktikan
438,buktikqn,buktikan
439,bul,kibul
440,bulshit,kibul
441,buryam,bubur ayam
442,buzer,buzzer
443,buzzerahoaxsebarkanhoax,buzzer ahok sebar hoaks
444,buzzerbuzzernya,buzzer buzzernya
445,bw,bawa
446,bwa,bawa
447,bwaanx,bawaan
448,bwh,bawah
449,bwt,buat
450,byak,banyak
451,byk,banyak
452,bynk,banyak
453,byr,bayar
454,bzen,bosan
455,bzn,bosan
456,cabut,pergi
457,cagubnya,calon gubernurnya
458,cahya,cahaya
459,caiank,sayang
460,caiyo,semangat
461,cakep,cakap
462,cantek,cantik
463,capek,cape
464,caturx,catur
465,cayo,semangat
466,cb,coba
467,cecunguk2nya,cecunguk cecunguknya
468,ceheheheh,hehe
469,cekola,sekolah
470,cekolah,sekolah
471,celalaw,selalu
472,celalu,selalu
473,cemen,takut
474,cemplungin,mencemplungkan
475,cemungudh,semangat
476,cemungut,semangat
477,cemunguth,semangat
478,centuryataumuniratauhambalang,century munir atau hambalang
479,cepat2,cepat cepat
480,cepet,cepat
481,ceplas,ceplos
482,ceppat,cepat
483,cewe,cewek
484,ciamik,indah
485,ciap,siap
486,ciayou,semangat
487,cibuq,sibuk
488,cie,wah
489,ciee,wah
490,cini,sini
491,cino,cina
492,citizens,warga kota
493,ciyan,kasihan
494,ciye,wah
495,ciyus,serius
496,ckck,wkwk
497,ckp,cukup
498,ckrg,sekarang
499,ckup,cukup
500,cling,bersih
501,cll,selalu
502,cllu,selalu
503,cllw,selalu
504,cm,cuma
505,cma,cuma
506,cman,cuma
507,cmn,cuma
508,cmpk,cempaka
509,col,keren
510,compares,membandingkan
511,congrats,selamat
512,congratulation,selamat
513,corruptions,korupsi
514,corruptors,koruptor
515,cowo,cowok
516,coz,soalnya
517,cpat,cepat
518,cpe,cape
519,cpee,cape
520,cpet,cepat
521,cpt,cepat
522,cptn,cepatan
523,crt,cerita
524,crying,menangis
525,cs,rekan
526,cth,contoh
527,cukupsatuputaran,cukup satu putaran
528,cuman,cuma
529,cw,cewek
530,cwe,cewek
531,cwo,cowok
532,d,di
533,da,dan
534,dah,sudah
535,dalah,adalah
536,dalem,dalam
537,dann,dan
538,dapa,ada apa
539,dapah,ada apa
540,dapet,dapat
541,dapetin,mendapatkan
542,daripaddatidda,dari pada tidak
543,datangin,mendatangi
544,dateng,datang
545,daut,daud
546,dblg,dibilang
547,dblkng,dibelakang
548,dbls,dibalas
549,dbwt,dibuat
550,dbyr,dibayar
551,ddpn,di depan
552,dduk,duduk
553,de,deh
554,demen,suka
555,democrazy,demokrasi gila
556,demodemo,demo demo
557,demodemonov,demo november
558,denger,dengar
559,dengn,dengan
560,depa,depan
561,des,desember
562,dewadewa,dewa dewa
563,dftr,daftar
564,dg,dengan
565,dgn,dengan
566,dgr,dengar
567,dgrn,dengarkan
568,dh,sudah
569,dhewan,dewan
570,diaa,dia
571,diajakin,diajak
572,dianutny,dianutnya
573,diapain,diapakan
574,dibelakanghari,di belakang hari
575,dibiarin,dibiarkan
576,dibobongin,dibodohi
577,dibodohin,dibodohi
578,dibohongin,dibohongi
579,dibohonginataudibodohin,dibohongi atau dibodohi
580,diboongin,dibohongi
581,dibuatx,dibuatnya
582,dibudigunawankan,di budi gunawankan
583,dicuekin,dicueki
584,didenger,didengar
585,didengerin,didengarkan
586,didiemin,didiamkan
587,didlam,di dalam
588,didzalimi,dizalimi
589,die,dia
590,diem,diam
591,diem2,diam diam
592,digembosin,digembosi
593,diginiin,dibeginikan
594,dijadiin,dijadikan
595,dijatohin,dijatuhi
596,dijdkn,dijadikan
597,dikenyataanya,pada kenyataannya
598,dikirain,dikiranya
599,dikit,sedikit
600,dimance,di mana
601,dimandose,di mana sih
602,dimans,dimana
603,dimonitoring,dipantau
604,dinaikin,dinaiki
605,dinegri,di negeri
606,dipake,dipakai
607,dipemjara,di penjara
608,diperes,diperas
609,dipikirin,dipikirkan
610,dipilkada,di pilkada
611,diprose,diproses
612,dirix,dirinya
613,dirmh,di rumah
614,disalahgunakan,disalah gunakan
615,disamarinda,di samarinda
616,disewotin,disewoti
617,disumpahdisumpahin,disumpahi
618,ditemenin,ditemani
619,ditentukn,ditentukan
620,ditetapknnya,ditetapkan
621,ditrsangkakan,ditersangkakan
622,dittapkn,ditetapkan
623,diyem,diam
624,dizhalimi,dizalimi
625,dizholimi,dizalimi
626,dizolimi,dizalimi
627,djakarta,di jakarta
628,djasatuputaran,di satu putaran
629,djkt,di jakarta
630,djl,di jalan
631,djln,di jalan
632,djmin,dijamin
633,dkat,dekat
634,dket,dekat
635,dkijakarta,dki jakarta
636,dkls,di kelas
637,dkmps,di kampus
638,dkmr,di kamar
639,dkntr,di kantor
640,dksh,dikasih
641,dkt,dekat
642,dl,dulu
643,dlm,dalam
644,dlmnya,dalamnya
645,dlrng,dilarang
646,dlu,dulu
647,dluan,duluan
648,dmana,di mana
649,dmkn,dimakan
650,dmn,di mana
651,dmna,di mana
652,dmnmn,di mana mana
653,dmny,di mana
654,dn,dan
655,dng,dengan
656,dngan,dengan
657,dngar,dengar
658,dnger,dengar
659,dngerin,dengarkan
660,dngn,dengan
661,dngr,dengar
662,doain,doakan
663,doank,doang
664,doi,dia
665,dongok,dungu
666,donlot,unduh
667,dont,do not
668,doyan,suka
669,dp,uang muka
670,dpan,depan
671,dpet,dapat
672,dpk,depok
673,dpkrkn,dipikirkan
674,dpn,depan
675,dpnrmh,di depan rumah
676,dpt,dapat
677,dr,dari
678,drg,dokter gigi
679,drh,darah
680,dri,dari
681,drmh,di rumah
682,drmn,dari mana
683,drpd,daripada
684,drtd,dari tadi
685,drumah,di rumah
686,dsar,dasar
687,dsb,dan sebagainya
688,dsblh,di sebelah
689,dsini,di sini
690,dsklh,di sekolah
691,dsni,di sini
692,dsnii,di sini
693,dst,dan seterusnya
694,dtetapak,ditetapkan
695,dtg,datang
696,dtgn,datang
697,dtgny,datangnya
698,dtmbh,di tambah
699,dtmpt,di tempat
700,dtng,datang
701,dttapkn,ditetapkan
702,dtuntut,dituntun
703,duabelas,dua belas
704,duaduanya,dua duanya
705,duchh,aduh
706,duh,aduh
707,duit2,duit duit
708,dukungahok,dukung ahok
709,dukungfatwa,dukung fatwa
710,dukungfatwamui,dukung fatwa mui
711,duluan,lebih dahulu
712,duluw,dahulu
713,dunk,dong
714,durung,belum
715,dy,dia
716,dya,dia
717,dzolim,zalim
718,dzolimi,dizalimi
719,ea,iya
720,eagles,elang
721,ealah,iyalah
722,ech,eh
723,eehh,eh
724,egak,tidak
725,egh,eh
726,ehh,eh
727,ekong,kakek
728,elech,alah
729,elee,alah
730,elektibilitas,elektabilitas
731,elit,elite
732,elo,kamu
733,elu,kamu
734,eman,sayang
735,emang,memang
736,emangnya,memangnya
737,emank,memang
738,emg,memang
739,emng,memang
740,en,dan
741,ending,akhir
742,endingnya,akhirnya
743,engga,tidak
744,enggak,tidak
745,enjarakanahok,penjarakan ahok
746,enk,enak
747,entar,nanti
748,ente,kamu
749,entee,kamu
750,erti,mengerti
751,esbeye,susilo bambang yudhoyono
752,eskrim,es krim
753,eteb,bosan
754,everythings,segalanya
755,faham,paham
756,fanati,fanatik
757,fb,facebook
758,fcked,fuck
759,fears,fear
760,feb,februari
761,fikir,pikir
762,fikiran,pikiran
763,finah,fitnah
764,follback,ikuti
765,follbek,ikuti
766,followback,ikuti
767,follower,pengikut
768,followers,pengikut
769,freeahok,free ahok
770,futures,masa depan
771,g,tidak
772,ga,tidak
773,gaada,tidak ada
774,gabakal,tidak akan
775,gaberani,tidak berani
776,gabisa,tidak bisa
777,gaboleh,tidak boleh
778,gabut,kurang kerjaan
779,gada,tidak ada
780,gaenak,tidak enak
781,gaikut,tidak ikut
782,gajadi,tidak jadi
783,gajelas,tidak jelas
784,gak,tidak
785,gakuat,tidak kuat
786,gakz,tidak
787,galak2,galak galak
788,galo,galau
789,gamasuk,tidak masuk
790,gamau,tidak mau
791,ganbate,semangat
792,ganyangahok,ganyang ahok
793,ganyangcina,ganyang cina
794,gapake,tidak pakai
795,gapapa,tidak apa apa
796,gapapalah,tidak apalah
797,gapape,tidak apa
798,gapedulisamastatus,tidak peduli dengan status
799,gapernah,tidak pernah
800,gapunya,tidak punya
801,gara2,gara gara
802,garangangarangan,garang
803,garem,garam
804,gasuka,tidak suka
805,gatau,tak tau
806,gataw,tak tau
807,gatel,gatal
808,gausah,tidak usah
809,gawe,kerja
810,gbr,gambar
811,gdg,gudang
812,gece,gerak cepat
813,gelaja,gejala
814,gelarperkarasudahdiumumkan,gelar perkara sudah umum
815,gelik,geli
816,gelo,gila
817,gemes,gemas
818,gengges,ganggu
819,genks,geng
820,gera,gerak
821,gerja,gereja
822,ggl,gagal
823,ghiy,lagi
824,gi,lagi
825,gilak,gila
826,gile,gila
827,gilla,gila
828,gimana,bagaimana
829,gimanapun,bagaimanapun
830,gin,begini
831,ginian,beginian
832,gitu,begitu
833,gituan,begitu
834,gituh,begitu
835,gk,tidak
836,gmana,bagaimana
837,gmbr,gambar
838,gmn,bagaimana
839,gmna,bagaimana
840,gmpg,gampang
841,gmpng,gampang
842,gni,begini
843,gnti,ganti
844,goblog,goblok
845,goblog2in,goblok goblokin
846,going,pergi
847,gonna,pergi
848,gosipin,menggosipkan
849,gov,gubernur
850,governo,gubernur
851,governoor,gubernur
852,governor,gubernur
853,governour,gubernur
854,govt,pemerintah
855,goyangin,goyangkan
856,gpl,tidak pakai lama
857,gpny,tidak punya
858,gpp,tidak apa apa
859,gprnh,tidak pernah
860,gr,gede rasa
861,gr2,gara gara
862,gratisan,gratis
863,gregetan,geregetan
864,gt,begitu
865,gtu,begitu
866,gtw,tak tau
867,gua,gue
868,gub,gubernur
869,gubatauwalkot,gubernur atau walikota
870,gubenur,gubernur
871,guberenur,gubernur
872,guemewek,gue mewek
873,guoblog,goblok
874,gurbenur,gubernur
875,guwe,gue
876,gw,gue
877,gwe,gue
878,gws,semoga lekas sembuh
879,gx,tidak
880,ha,apa
881,habaib,habib
882,hacur,hancur
883,hadeh,aduh
884,hadeuh,aduh
885,hahaha,haha
886,hahahahaha,haha
887,hapal,hafal
888,hape,telepon genggam
889,happening,terjadi
890,haq,hak
891,haqq,hakiki
892,hariharimu,hari harimu
893,harini,hari ini
894,haritoleransiinternasional,hari toleransi internasional
895,haritoleransinasional,hari toleransi nasional
896,hastag,tagar
897,hastage,tagar
898,haters,hater
899,hatinye,hatinya
900,hbd,selamat ulang tahun
901,hbis,habis
902,hbng,hubungi
903,hbngn,hubungan
904,hbs,habis
905,hbskn,habiskan
906,hdup,hidup
907,hebatx,hebatnya
908,helow,halo
909,hepi,senang
910,hepihepinya,senang senangnya
911,hera,heran
912,hestag,tagar
913,hestagnya,tagarnya
914,hesteg,tagar
915,hestek,tagar
916,hgga,hingga
917,hha,haha
918,hhaaa,haha
919,hidupgwselo,hidup saya santai
920,hilangin,hilangkan
921,hkm,hukum
922,hkum,hukum
923,hlg,hilang
924,hlm,halaman
925,hlmn,halaman
926,hmm,hem
927,hny,hanya
928,hnya,hanya
929,hoak,hoaks
930,hoaker,penyebar hoaks
931,hoakers,penyebar hoaks
932,hog,ahok
933,hok,ahok
934,hopeless,putus asa
935,hormatin,hormati
936,hotels,hotel
937,hr,hari
938,hrapan,harapan
939,hrg,harga
940,hrgny,harganya
941,hri,hari
942,hrs,harus
943,hrsny,seharusnya
944,hrsnya,seharusnya
945,hrus,harus
946,hsl,hasil
947,hti,hati
948,huah,wah
949,huakbar,allahu akbar
950,hub,hubung
951,hubunganya,hubungannya
952,huehue,hehe
953,hukumanny,hukumannya
954,hums,rumah
955,humz,rumah
956,huum,iya
957,huwallohu,allahu
958,hy,hanya
959,idelete,hapus
960,idup,hidup
961,igat,ingat
962,ihlas,ikhlas
963,ijo,hijau
964,iket,ikat
965,iki,ini
966,iklas,ikhlas
967,iku,ikut
968,ikutikutan,ikut ikutan
969,ikutin,ikuti
970,ilah,lah
971,ilang,hilang
972,ilangnya,hilangnya
973,imbau,himbau
974,imembela,saya membela
975,imwith,saya dengan
976,imwithahok,saya dengan ahok
977,ind,indonesia
978,indakk,tidak
979,independen,bebas
980,indo,indonesia
981,indonesian,indonesia
982,inget,ingat
983,ingetin,ingatkan
984,ingnikan,menginginkan
985,ingt,ingat
986,inibarujakarta,ini baru jakarta
987,inideh,ini deh
988,innocense,tidak bersalah
989,inoleran,tidak toleran
990,insallah,insyaallah
991,insha,insya
992,insyaa,insya
993,insyaallah,insyaallah
994,insyaalloh,insyaallah
995,insyallah,insyaallah
996,internationally,international
997,isa,bisa
998,iso,bisa
999,istandwithahok,saya berdiri dengan ahok
1000,istrht,istirahat
1001,item,hitam
1002,its,ini
1003,itumah,itu mah
1004,iy,iya
1005,iyach,iya
1006,iyah,ya
1007,iyap,iya
1008,iyapz,iya
1009,iyoo,iya
1010,iyup,iya
1011,iyupz,iya
1012,iz,iya
1013,iza,iya
1014,izza,iya
1015,ja,saja
1016,jabaninn,layani
1017,jabatanya,jabatannya
1018,jadiin,jadikan
1019,jadijadian,jadi jadian
1020,jagan,jangan
1021,jakanjing,the jack anjing
1022,jakrta,jakarta
1023,jambaners,para jamban
1024,jamber,jam berapa
1025,jan,jangan
1026,janganmalasbaca,jangan malas baca
1027,janganmaudibohongipakaikatatersangka,jangan mau bohong pakai kata sangka
1028,jangas,jangan
1029,janjikapolri,janji kapolri
1030,jarot,djarot
1031,jatoh,jatuh
1032,jatohnya,jatuhnya
1033,jatuhataumundur,jatuh mundur
1034,jatuhin,jatuhi
1035,jau,jauh
1036,jd,jadi
1037,jdi,jadi
1038,jdkan,jadikan
1039,jdny,jadinya
1040,jdnya,jadinya
1041,jdwl,jadwal
1042,jebleh,jablay
1043,jejelin,menjejalkan
1044,jela,sajalah
1045,jem,jam
1046,jentelman,gentleman
1047,jesica,jessica
1048,jesika,jessica
1049,jg,juga
1050,jga,juga
1051,jgan,jangan
1052,jglh,jagalah
1053,jgn,jangan
1054,jgnjgn,jangan jangan
1055,jgnn,jangan
1056,jjurnnya,sejujurnya
1057,jk,jika
1058,jkarta,jakarta
1059,jkrt,jakarta
1060,jksaagung,jaksa agung
1061,jkt,jakarta
1062,jl,jalan
1063,jln,jalan
1064,jm,jam
1065,jmbt,jembut
1066,jmbtn,jembatan
1067,jml,jumlah
1068,jmlh,jumlah
1069,jmpt,jemput
1070,jmt,jumat
1071,jng,jangan
1072,jngan,jangan
1073,jngn,jangan
1074,joined,bergabung
1075,jokowinetral,jokowi netral
1076,jos,hebat
1077,jpn,jepang
1078,jrg,jarang
1079,jrng,jarang
1080,jt,juta
1081,jubirnya,jubir
1082,judulnye,judulnya
1083,jungkirbalik,jungkir balik
1084,jwb,jawab
1085,jwbn,jawaban
1086,jwbny,jawabannya
1087,kabeh,semua
1088,kacian,kasihan
1089,kaga,tidak
1090,kagak,tidak
1091,kai,kau
1092,kaka,kakak
1093,kalahin,kalahkan
1094,kale,kali
1095,kalee,kali
1096,kalo,kalau
1097,kalok,kalau
1098,kalu,kalau
1099,kamiahok,kami ahok
1100,kamiahokk,kami ahok
1101,kamibukan,kami bukan
1102,kamibukanahok,kami bukan ahok
1103,kamikamukitadanmereka,kami kamu kita mereka
1104,kamimanusia,kami manusia
1105,kammi,kami
1106,kampany,kampanye
1107,kampenye,kampanye
1108,kanapa,kenapa
1109,kandangin,kandangkan
1110,kapir,kafir
1111,kapolritangkapahok,kapolri tangkap ahok
1112,kaporli,kapolri
1113,karna,karena
1114,karo,sama
1115,karoke,karaoke
1116,kasalndukung,asal dukung
1117,kasi,kasih
1118,kasian,kasihan
1119,kasusunya,kasusnya
1120,katanya2,katanya katanya
1121,kau,kamu
1122,kaulahhh,kamulah
1123,kawalkasusahok,kawal kasus ahok
1124,kawall,kawal
1125,kawalterus,kawal terus
1126,kayanya,sepertinya
1127,kbakaran,kebakaran
1128,kbnykn,kebanyakan
1129,kbr,kabar
1130,kbtln,kebetulan
1131,kbusukan,kebusukan
1132,kbykn,kebanyakan
1133,kdg,kadang
1134,kdng,kadang
1135,kdpan,ke depan
1136,kdpn,ke depan
1137,kebawa,terbawa
1138,kebereraniammu,keberanianmu
1139,kebhinekaan,kebinekaan
1140,kebhinnekaan,kebinekaan
1141,kebhinnekaannya,kebinekaannya
1142,kebncian,kebencian
1143,kebon,kebun
1144,kecakepan,terlalu cakap
1145,kedholiman,kezaliman
1146,keepcalm,tetap tenang
1147,kegeeran,terlalu gede rasa
1148,keiknya,sepertinya
1149,kejadia,kejadian
1150,kejahatankejahatannya,kejahatan kejahatannya
1151,kejakarta,ke jakarta
1152,kejaliman,kezaliman
1153,kek,kayak
1154,kekecewan,kekecewaan
1155,keknya,sepertinya
1156,kekuasaa,kekuasaan
1157,kekuatanya,kekuatannya
1158,kelaperan,kelaparan
1159,kelar,selesai
1160,kelen,kalian
1161,keles,kali
1162,keliatan,kelihatan
1163,kelles,kali
1164,kemane,kemana
1165,kemaren,kemarin
1166,kembangin,kembangkan
1167,keminter,sok pintar
1168,kemnangan,kemenangan
1169,kenapah,kenapa
1170,kenape,kenapa
1171,kenaps,kenapa
1172,kenapz,kenapa
1173,kenceng,kencang
1174,kencengin,kencangkan
1175,kepengen,ingin
1176,kepntingn,kepentingan
1177,kepo,ingin tahu
1178,kera2,kera kera
1179,kerna,karena
1180,kesalahanya,kesalahannya
1181,kesampean,kesampaian
1182,kesel,kesal
1183,kesian,kasihan
1184,ketawa,tertawa
1185,ketidakadilan,ke tidak adilan
1186,keujanan,kehujanan
1187,keyen,keren
1188,kezholiman,kezaliman
1189,kga,tidak
1190,kgak,tidak
1191,kgk,tidak
1192,khabar,kabar
1193,khan,kan
1194,khanz,kan
